央视,#genre#
CGTN外语,http://111.48.34.237/PLTV/88888888/224/3221230352/1.m3u8
CGTN纪录,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225602/index.m3u8
法治天地,http://111.48.34.237/PLTV/88888888/224/3221230609/1.m3u8
金色学堂,http://111.48.34.237/PLTV/88888888/224/3221230603/1.m3u8
国学频道,http://111.48.34.237/PLTV/88888888/224/3221230443/1.m3u8
国学频道,http://111.48.34.237/PLTV/88888888/224/3221229718/1.m3u8
环球奇观,http://111.48.34.237/PLTV/88888888/224/3221230392/1.m3u8
环球奇观,http://111.48.34.237/PLTV/88888888/224/3221229716/1.m3u8
金鹰纪实,http://111.48.34.237/PLTV/88888888/224/3221229814/1.m3u8
金鹰纪实,http://111.48.34.237/PLTV/88888888/224/3221230420/1.m3u8
文物宝库,http://111.48.34.237/PLTV/88888888/224/3221230547/1.m3u8
上海纪实人文,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225738/index.m3u8
北京纪实科教,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225729/index.m3u8

少儿,#genre#
CCTV14,http://111.48.34.237/PLTV/88888888/224/3221230446/1.m3u8
卡酷少儿,http://111.48.34.237/PLTV/88888888/224/3221230040/1.m3u8
卡酷少儿,http://111.48.34.237/PLTV/88888888/224/3221230428/1.m3u8
金鹰卡通,http://111.48.34.237/PLTV/88888888/224/3221230345/1.m3u8
金鹰卡通,http://111.48.34.237/PLTV/88888888/224/3221230468/1.m3u8
动漫秀场,http://111.48.34.237/PLTV/88888888/224/3221230544/1.m3u8
新动漫,http://111.48.34.237/PLTV/88888888/224/3221230487/1.m3u8
哈哈炫动,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225657/index.m3u8
优漫卡通,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225656/index.m3u8
黑龙江少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226304/index.m3u8
黑莓动画,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225662/index.m3u8

竞技,#genre#
CCTV5,http://111.48.34.237/PLTV/88888888/224/3221230165/1.m3u8
CCTV5,http://111.48.34.237/PLTV/88888888/224/3221230400/1.m3u8
CCTV5+,http://111.48.34.237/PLTV/88888888/224/3221230455/1.m3u8
CCTV16,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
风云足球,http://111.48.34.237/PLTV/88888888/224/3221230482/1.m3u8
高尔夫网球,http://111.48.34.237/PLTV/88888888/224/3221230085/1.m3u8
高尔夫网球,http://111.48.34.237/PLTV/88888888/224/3221230535/1.m3u8
央视台球,http://111.48.34.237/PLTV/88888888/224/3221230173/1.m3u8
央视台球,http://111.48.34.237/PLTV/88888888/224/3221230484/1.m3u8
睛彩竞技,http://111.48.34.237/PLTV/88888888/224/3221230371/1.m3u8
睛彩竞技,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226124/index.m3u8
睛彩篮球,http://111.48.34.237/PLTV/88888888/224/3221230336/1.m3u8
睛彩篮球,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226147/index.m3u8
睛彩篮球,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226469/index.m3u8
超级体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225715/index.m3u8
精品体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225674/index.m3u8
精彩搏击,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225680/index.m3u8
睛彩青少,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226508/index.m3u8
睛彩广场舞,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226472/index.m3u8
武术世界,http://111.48.34.237/PLTV/88888888/224/3221230549/1.m3u8
先锋羽乒,http://111.48.34.237/PLTV/88888888/224/3221230436/1.m3u8
游戏风云,http://111.48.34.237/PLTV/88888888/224/3221230599/1.m3u8

湖北,#genre#
湖北卫视,http://111.48.34.237/PLTV/88888888/224/3221229812/1.m3u8
湖北卫视,http://111.48.34.237/PLTV/88888888/224/3221229812/1.m3u8
湖北卫视,http://111.48.34.237/PLTV/88888888/224/3221230509/1.m3u8
湖北综合,http://111.48.34.237/PLTV/88888888/224/3221229806/1.m3u8
湖北综合,http://111.48.34.237/PLTV/88888888/224/3221230439/1.m3u8
湖北经视,http://111.48.34.237/PLTV/88888888/224/3221229804/1.m3u8
湖北经视,http://111.48.34.237/PLTV/88888888/224/3221230388/1.m3u8
湖北教育,http://111.48.34.237/PLTV/88888888/224/3221230406/1.m3u8
湖北垄上,http://111.48.34.237/PLTV/88888888/224/3221229833/1.m3u8
湖北垄上,http://111.48.34.237/PLTV/88888888/224/3221230390/1.m3u8
湖北生活,http://111.48.34.237/PLTV/88888888/224/3221230457/1.m3u8
湖北影视,http://111.48.34.237/PLTV/88888888/224/3221230404/1.m3u8
湖北公共新闻,http://111.48.34.237/PLTV/88888888/224/3221230441/1.m3u8
湖北公共新闻,http://111.48.34.237/PLTV/88888888/224/3221229800/1.m3u8
武汉教育,http://111.48.34.237/PLTV/88888888/224/3221229783/1.m3u8
荆州垄上,http://111.48.34.237/PLTV/88888888/224/3221230560/1.m3u8
荆州新闻综合,http://111.48.34.237/PLTV/88888888/224/3221229763/1.m3u8
黄石新闻综合,http://111.48.34.237/PLTV/88888888/224/3221230556/1.m3u8
黄石都市频道,http://111.48.34.237/PLTV/88888888/224/3221230558/1.m3u8
黄冈生活频道,http://111.48.34.237/PLTV/88888888/224/3221230566/1.m3u8
鄂州公共,http://111.48.34.237/PLTV/88888888/224/3221230564/1.m3u8
鄂州新闻综合,http://111.48.34.237/PLTV/88888888/224/3221230562/1.m3u8
宜昌综合,http://111.48.34.237/PLTV/88888888/224/3221230587/1.m3u8
宜昌旅游生活,http://111.48.34.237/PLTV/88888888/224/3221230589/1.m3u8
恩施文旅频道,http://111.48.34.237/PLTV/88888888/224/3221230344/1.m3u8
荆门新闻综合,http://111.48.34.237/PLTV/88888888/224/3221230574/1.m3u8
荆门科教文旅,http://111.48.34.237/PLTV/88888888/224/3221230572/1.m3u8
随州综合,http://111.48.34.237/PLTV/88888888/224/3221230593/1.m3u8
随州农村,http://111.48.34.237/PLTV/88888888/224/3221230568/1.m3u8
咸宁综合,http://111.48.34.237/PLTV/88888888/224/3221229876/1.m3u8
咸宁经济生活,http://111.48.34.237/PLTV/88888888/224/3221229907/1.m3u8
襄阳综合,http://111.48.34.237/PLTV/88888888/224/3221229846/1.m3u8
襄阳经济生活,http://111.48.34.237/PLTV/88888888/224/3221229848/1.m3u8
襄阳公共,http://111.48.34.237/PLTV/88888888/224/3221229850/1.m3u8

财经,#genre#
CCTV2,http://111.48.34.237/PLTV/88888888/224/3221229893/1.m3u8
CCTV2,http://111.48.34.237/PLTV/88888888/224/3221230359/1.m3u8
东方财经,http://111.48.34.237/PLTV/88888888/224/3221230613/1.m3u8
财富天下,http://111.48.34.237/PLTV/88888888/224/3221230418/1.m3u8
财富天下,http://111.48.34.237/PLTV/88888888/224/3221229728/1.m3u8

港台日,#genre#
凤凰中文,http://58.144.154.93/qctv.fengshows.cn/live/0701pcc72.m3u8
凤凰中文,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225684/index.m3u8
凤凰中文,http://aktv.top/AKTV/live/aktv/null-3/AKTV.m3u8
凤凰资讯,http://aktv.top/AKTV/live/aktv/null-4/AKTV.m3u8
